,dice_coeff,loss,lr,val_dice_coeff,val_loss
0,0.001835359059530482,1.102426669228575,9.999999747378752e-05,0.001955555798119933,1.0451157233569852
1,0.0025213523831959877,1.0245247353499878,9.999999747378752e-05,0.003127378946781334,1.0120866249492924
2,0.004532225980567552,1.00592645409652,9.999999747378752e-05,0.005679424173310253,1.001633578644286
3,0.00681269781009571,0.9995056256615266,9.999999747378752e-05,0.007460072647582572,0.9982889707992494
4,0.008148529896791795,0.9974112991033081,9.999999747378752e-05,0.008419792155034416,0.9972641273659667
5,0.008577742370838614,0.9969681308661983,9.999999747378752e-05,0.008522212563891308,0.9972663901175404
6,0.008669788648513962,0.9968763685343599,9.999999747378752e-05,0.008597168595711234,0.9971256466886149
7,0.008689156392502258,0.9968735235621947,9.999999747378752e-05,0.008632552694741542,0.9970242081316141
8,0.008705737517748476,0.996853789474806,9.999999747378752e-05,0.008611844428073915,0.9970094408173926
9,0.008704223720407163,0.9968640631481236,9.999999747378752e-05,0.008627166433629447,0.997001306481352
10,0.008735334885556077,0.996815211034817,9.999999747378752e-05,0.008620403106882436,0.996990206667857
11,0.008724749905654488,0.9968326534041608,9.999999747378752e-05,0.008623021528534664,0.9969938892746721
12,0.008735147756535826,0.9968180745181053,9.999999747378752e-05,0.00862145145041301,0.9969878810327976
13,0.008750241328515936,0.9967984589663419,9.999999747378752e-06,0.008631025783146763,0.9969752904005744
14,0.008746426666947195,0.9967945576592804,9.999999747378752e-06,0.008633259156890843,0.9969745319343971
15,0.008735901882977246,0.9968115370162289,9.999999747378752e-06,0.008634274203352235,0.9969739981859278
16,0.008752186468250921,0.9967852624686988,9.999999747378752e-06,0.00863641997422357,0.9969736446566104
